sid,word,occurence
7ABLbnD53cQK00mhcaOUVG,paro,2
7ABLbnD53cQK00mhcaOUVG,subo,2
7ABLbnD53cQK00mhcaOUVG,altura,2
7ABLbnD53cQK00mhcaOUVG,dime,2
7ABLbnD53cQK00mhcaOUVG,nunca,2
7ABLbnD53cQK00mhcaOUVG,full,1
7ABLbnD53cQK00mhcaOUVG,beb,1
7ABLbnD53cQK00mhcaOUVG,apaga,1
7ABLbnD53cQK00mhcaOUVG,llamando,1
7ABLbnD53cQK00mhcaOUVG,haga,1
7ABLbnD53cQK00mhcaOUVG,quiere,1
7ABLbnD53cQK00mhcaOUVG,inevitable,1
7ABLbnD53cQK00mhcaOUVG,mirando,1
7ABLbnD53cQK00mhcaOUVG,cable,1
7ABLbnD53cQK00mhcaOUVG,culpable,1
1BxfuPKGuaTgP7aM0Bbdwr,summer,9
1BxfuPKGuaTgP7aM0Bbdwr,roll,4
1BxfuPKGuaTgP7aM0Bbdwr,shape,3
1BxfuPKGuaTgP7aM0Bbdwr,breakable,3
1BxfuPKGuaTgP7aM0Bbdwr,body,3
1BxfuPKGuaTgP7aM0Bbdwr,blue,3
1BxfuPKGuaTgP7aM0Bbdwr,night,3
1BxfuPKGuaTgP7aM0Bbdwr,feeling,3
1BxfuPKGuaTgP7aM0Bbdwr,wait,3
1BxfuPKGuaTgP7aM0Bbdwr,rule,3
1BxfuPKGuaTgP7aM0Bbdwr,secret,2
1BxfuPKGuaTgP7aM0Bbdwr,cut,2
1BxfuPKGuaTgP7aM0Bbdwr,low,2
1BxfuPKGuaTgP7aM0Bbdwr,home,2
1BxfuPKGuaTgP7aM0Bbdwr,comin,2
7ro0hRteUMfnOioTFI5TG1,ver,5
7ro0hRteUMfnOioTFI5TG1,hablar,3
7ro0hRteUMfnOioTFI5TG1,entonce,3
7ro0hRteUMfnOioTFI5TG1,baby,2
7ro0hRteUMfnOioTFI5TG1,quise,2
7ro0hRteUMfnOioTFI5TG1,encontrar,2
7ro0hRteUMfnOioTFI5TG1,repetir,2
